time_ms,ppg_red,ppg_ir,ax,ay,az,gx,gy,gz,motion_mag,ppg_ir_detrended,ppg_red_detrended,ppg_noise_score,slope_score,dynamic_motion,motion_score,signal_label,protocol_label
58123,900,544,0.004028,0.016235,1.006836,-0.244141,0.0,-0.061035,1.006975,-79.08000000000004,57.24000000000001,0.0,0.0,0.001143160000000032,0.0005326631255225234,NO_FINGER,NO_FINGER
58284,794,704,0.000732,0.013794,1.006104,-0.244141,0.061035,-0.12207,1.006198,82.51999999999998,-48.120000000000005,0.0,0.0,0.0003646799999998951,0.0005312156588558548,NO_FINGER,NO_FINGER
58445,978,575,0.004517,0.020752,1.005737,-0.183105,0.061035,-0.061035,1.005962,-45.120000000000005,132.15999999999997,0.0,0.0,0.00014047999999999838,0.0005160848588558497,NO_FINGER,NO_FINGER
58604,788,748,0.002075,0.020752,1.005981,-0.305176,0.0,-0.12207,1.006198,125.63999999999999,-60.879999999999995,0.0,0.0,0.00037060000000010973,0.0004931582706205706,NO_FINGER,NO_FINGER
58765,880,570,0.009644,0.018433,1.006104,-0.305176,0.0,-0.061035,1.006319,-53.960000000000036,31.91999999999996,0.0,0.0,0.0005163599999999935,0.000490474892842796,NO_FINGER,NO_FINGER
58926,727,643,-0.004272,0.011963,1.005249,-0.244141,0.0,-0.12207,1.005329,19.120000000000005,-119.08000000000004,0.0,0.0,0.0004476399999999714,0.0004664647033691072,NO_FINGER,NO_FINGER
59085,1054,448,0.013062,0.022583,1.005493,-0.305176,0.0,-0.12207,1.005831,-173.60000000000002,207.08000000000004,0.0,0.0,6.119999999998349e-05,0.00045317870336910817,NO_FINGER,NO_FINGER
59246,806,837,-0.000977,0.009277,1.004761,-0.305176,0.0,-0.061035,1.004804,214.64,-40.879999999999995,0.0,0.0,0.000927920000000082,0.000467061217654825,NO_FINGER,NO_FINGER
59407,867,594,0.010376,0.023071,1.005615,-0.183105,0.0,-0.12207,1.005933,-26.840000000000032,16.720000000000027,0.0,0.0,0.00020116000000003353,0.0004544403449275514,NO_FINGER,NO_FINGER
59567,590,698,-0.005127,0.012817,1.005005,-0.305176,-0.061035,-0.12207,1.0051,72.72000000000003,-257.67999999999995,0.0,0.0,0.0006755599999999085,0.00047329926666668244,NO_FINGER,NO_FINGER
