time_ms,ppg_red,ppg_ir,ax,ay,az,gx,gy,gz,motion_mag
65340,959,703,0.003174,0.015503,1.005127,-0.305176,0.061035,-0.061035,1.005252
65499,649,736,0.004883,0.016235,1.005127,-0.305176,0.000000,-0.122070,1.005270
65660,746,442,0.003784,0.015015,1.005371,-0.244141,0.000000,-0.122070,1.005490
65821,866,535,0.004150,0.014404,1.005493,-0.244141,0.000000,-0.122070,1.005605
65980,1007,609,0.003662,0.015015,1.004639,-0.244141,0.000000,-0.061035,1.004758
66141,742,801,0.003784,0.015137,1.004883,-0.305176,0.061035,-0.122070,1.005004
66302,727,542,0.003784,0.015747,1.006470,-0.244141,-0.061035,-0.061035,1.006600
66461,842,477,0.004150,0.014771,1.005493,-0.244141,0.000000,-0.061035,1.005610
66622,948,626,0.005005,0.012085,1.005127,-0.244141,0.000000,0.000000,1.005212
66783,847,693,0.002930,0.014038,1.006592,-0.305176,0.000000,-0.122070,1.006694
66942,739,615,0.008179,0.015869,1.006104,-0.305176,0.000000,-0.122070,1.006262
67103,868,492,0.002319,0.015137,1.004761,-0.244141,0.061035,-0.061035,1.004877
67264,796,682,0.008423,0.010376,1.006104,-0.244141,0.122070,-0.122070,1.006192
67423,900,542,-0.002319,0.021606,1.007813,-0.183105,0.000000,-0.244141,1.008047
67585,778,682,0.008423,0.038208,1.005737,-0.366211,0.061035,0.000000,1.006498
67744,956,548,0.000122,-0.000610,1.006348,-0.305176,0.000000,-0.061035,1.006348
67905,769,735,0.006958,0.023560,1.004761,-0.183105,0.000000,-0.122070,1.005061
68066,901,534,0.002197,0.016968,1.006592,-0.305176,0.061035,-0.122070,1.006737
68225,793,664,0.007813,0.014160,1.005005,-0.244141,-0.061035,-0.122070,1.005135
68386,983,534,0.000000,0.011353,1.007568,-0.244141,0.000000,-0.061035,1.007632
68547,781,790,0.009766,0.019043,1.006348,-0.244141,-0.061035,-0.183105,1.006575
68707,858,586,0.002319,0.015503,1.005737,-0.244141,-0.061035,-0.061035,1.005859
68868,671,949,0.005493,0.015625,1.005859,-0.244141,-0.061035,-0.122070,1.005996
69027,1195,3110,0.000244,0.017090,1.007324,-0.244141,0.000000,-0.122070,1.007469
69188,5873,19419,0.008789,0.014160,1.005615,-0.305176,0.000000,-0.122070,1.005753
69349,51915,95212,-0.005127,0.017822,1.007080,-0.183105,-0.061035,-0.061035,1.007251
69509,102652,116509,0.011353,0.014404,1.005737,-0.305176,0.061035,-0.122070,1.005905
69668,103126,116766,0.000488,0.016357,1.004761,-0.244141,0.000000,-0.122070,1.004894
69829,103030,117047,0.004761,0.015137,1.005859,-0.366211,0.061035,-0.061035,1.005985
69990,103062,117312,0.004150,0.015625,1.005859,-0.305176,0.000000,-0.122070,1.005989
70149,103098,117344,0.003784,0.015259,1.005249,-0.122070,0.000000,0.000000,1.005372
70311,102967,117397,0.005005,0.017334,1.005615,-0.305176,0.000000,-0.122070,1.005777
70470,103058,117489,0.004883,0.016113,1.005493,-0.366211,0.000000,-0.061035,1.005634
70631,102977,117522,0.004150,0.014526,1.005127,-0.366211,0.000000,-0.061035,1.005240
70791,102985,117567,0.005371,0.016602,1.005005,-0.244141,-0.061035,-0.122070,1.005156
70952,102931,117639,0.004883,0.015503,1.005249,-0.244141,0.000000,-0.061035,1.005380
71111,102969,117471,0.004272,0.014648,1.006348,-0.183105,0.000000,-0.122070,1.006463
71272,102841,117589,0.003418,0.013916,1.004761,-0.183105,0.000000,-0.122070,1.004863
71433,102848,117599,0.003662,0.015259,1.005615,-0.244141,0.000000,-0.061035,1.005738
71594,102814,117644,0.003784,0.015991,1.005005,-0.305176,0.000000,-0.061035,1.005139
71753,102793,117731,0.004028,0.014893,1.005127,-0.305176,0.000000,-0.122070,1.005245
71914,102814,117973,0.003174,0.015991,1.006226,-0.244141,0.061035,-0.061035,1.006358
72075,102878,117948,0.003906,0.015869,1.005737,-0.244141,0.000000,-0.122070,1.005870
72234,102785,118039,0.003784,0.014893,1.006104,-0.244141,0.000000,-0.061035,1.006221
72395,102796,117972,0.004150,0.015137,1.005005,-0.244141,0.000000,-0.122070,1.005127
72556,102695,117949,0.003784,0.015625,1.005371,-0.305176,0.000000,-0.122070,1.005500
72716,102700,118052,0.004272,0.015381,1.005615,-0.305176,0.000000,-0.061035,1.005742
72877,102726,118210,0.004272,0.015747,1.006104,-0.244141,0.000000,-0.061035,1.006236
73036,102708,118021,0.005493,0.016235,1.005859,-0.305176,0.061035,-0.122070,1.006005
73197,102657,118203,0.004028,0.015381,1.005981,-0.305176,0.061035,-0.061035,1.006107
73358,102659,118196,0.004517,0.015137,1.005981,-0.244141,0.000000,-0.122070,1.006105
73517,102663,118294,0.003662,0.015503,1.005981,-0.244141,0.000000,-0.061035,1.006108
73678,102657,118414,0.004517,0.015381,1.005615,-0.244141,0.061035,-0.122070,1.005743
73839,102663,118448,0.004395,0.015869,1.005615,-0.305176,0.000000,-0.061035,1.005750
73999,102573,118284,0.004395,0.015503,1.005859,-0.244141,0.000000,-0.061035,1.005988
