capture,interval_start_s,interval_end_s,label,notes
combined_contact_motion_001,0,15,NO_FINGER,no finger on sensor
combined_contact_motion_001,15,30,CLEAN,still finger contact
combined_contact_motion_001,30,45,NOISY,finger tapping/contact artifact
combined_contact_motion_001,45,60,CLEAN,still finger recovery
